Алистар, телекинез, низкий, ромашки, лесные поляны
Эльза, управление льдом, средний, снежные розы, заснеженные горы
Мордред, некромантия, высокий, черные лилии, древние склепы
Фиона, иллюзии, низкий, маки, волшебные леса
Галахад, исцеление, низкий, ландыши, священные рощи
Моргана, управление погодой, высокий, грозовые облака, вершины гор
Гендальф, магия огня, средний, огненные лилии, вулканические кратеры
Мерлин, пророчества, низкий, одуванчики, таинственные пещеры
Ровена, телепортация, средний, колокольчики, магические порталы
Зельда, управление временем, высокий, часы-цветы, древние библиотеки
Аластор, превращения, средний, нарциссы, заколдованные болота
Вивиана, управление водой, низкий, водяные лилии, озера и реки
Бальтазар, алхимия, средний, мандрагора, подземные лаборатории
Цирцея, превращение людей в животных, высокий, белладонна, остров Эя
Дumbledore, мудрость и знания, низкий, альстромерии, Хогвартс
Радагаст, общение с животными, низкий, подснежники, леса и поляны
Виллина, магия природы, низкий, фиалки, цветочные сады
Малефисента, магия тьмы, высокий, терновник, Запретный лес
Нимуэ, чары и заклинания, средний, лаванда, хрустальные пещеры
Агнес, телепатия, низкий, незабудки, тихие долины
Корнелиус, создание артефактов, средний, железное дерево, кузницы
Ирма, управление стихиями, средний, подсолнухи, открытые пространства
Кассандра, предвидение, высокий, лунный цветок, башни обсерватории
Зефир, управление ветром, низкий, одуванчики, воздушные потоки
Эсмерельда, гадание, низкий, карты Таро, цыганские таборы
Олаф, создание снеговиков, низкий, снежинки, снежные замки
Хагрид, уход за магическими существами, низкий, тыквы, хижина лесника
Флитвик, заклинания и чары, низкий, маргаритки, классные комнаты
Трелони, предсказания, низкий, чайные листья, башня прорицаний
Снейп, зельеварение, средний, лилии, подземелья
Макгонагалл, анимагия, средний, кошачья мята, кабинет трансфигурации
Флора, управление растениями, низкий, розы, теплицы
Муфаса, сила духа, низкий, акации, земли прайда
Сириус, анимагия, средний, звезды, дом Блэков
Люпин, оборотень, высокий, волчья ягода, Визжащая хижина
Беллатриса, магия тьмы, высокий, ядовитые грибы, поместье Малфоев
Долорес, контроль разума, высокий, мертвые цветы, Министерство Магии
Квиринус, защита от темных искусств, высокий, гнилые яблоки, подземелья Хогвартса
Гораций, зельеварение, низкий, кристаллизованный сахар, кабинет зельеварения
Помона, гербология, низкий, все виды растений, теплицы и сады
Минерва, трансфигурация, средний, шотландские чертополохи, кабинет трансфигурации
Аргус, бдительность, низкий, кошачьи глаза, коридоры Хогвартса
Гарри Поттер, защита от темных искусств, средний, лилии, Хогвартс
Гермиона Грейнджер, всесторонняя магия, низкий, розы, библиотека Хогвартса
Рон Уизли, шахматы и стратегия, низкий, маргаритки, Нора
Альбус Дамблдор, мудрость и альтруизм, низкий, лимонные дольки, кабинет директора
Северус Снейп, зельеварение и окклюменция, средний, лилии, подземелья
Минерва Макгонагалл, анимагия и трансфигурация, средний, шотландский чертополох, кабинет трансфигурации
Рубеус Хагрид, уход за магическими существами, низкий, тыквы, хижина у леса
Лорд Волан-де-Морт, темная магия, высокий, мертвые цветы, поместье Малфоев
Беллатриса Лестрейндж, темная магия и пытки, высокий, ядовитые грибы, Азкабан
Драко Малфой, темная магия и высокомерие, средний, нарциссы, поместье Малфоев
Блум, Пламя Дракона, средний, красные розы, Алфея
Стелла, Свет Солнца и Луны, низкий, подсолнухи, Солярия
